Time (ms),Memory Allocated (KB),Memory Freed (KB),Peak Memory (KB),Stack Usage (KB)
0,0.0,0,0.0,0.0
2285467,71.0,0,71.0078125,0.0
2400932,72.0,0,72.015625,0.0
2402727,3978.25,0,3978.2734375,0.0
2402919,19603.25,0,19603.3046875,0.0
2403111,35228.25,0,35228.3359375,0.0
2403207,43040.75,0,43040.8515625,0.0
2403303,50853.25,0,50853.3671875,0.0
2403399,58665.75,0,58665.8828125,0.0
2403495,66478.25,0,66478.3984375,0.0
2403591,74290.75,0,74290.9140625,0.0
2403687,82103.25,0,82103.4296875,0.0
2403783,89915.75,0,89915.9453125,0.0
2403879,97728.25,0,97728.4609375,0.0
2403975,105540.75,0,105540.9765625,0.0
2404071,113353.25,0,113353.4921875,0.0
2404167,121165.75,0,121166.0078125,0.0
2404263,128978.25,0,128978.5234375,0.0
2404359,136790.75,0,136791.0390625,0.0
2404455,144603.25,0,144603.5546875,0.0
2404551,152415.75,0,152416.0703125,0.0
2404647,160228.25,0,160228.5859375,0.0
2404743,168040.75,0,168041.1015625,0.0
2404839,175853.25,0,175853.6171875,0.0
2404935,183665.75,0,183666.1328125,0.0
2405031,191478.25,0,191478.6484375,0.0
2405127,199290.75,0,199291.1640625,0.0
2405223,207103.25,0,207103.6796875,0.0
2405319,214915.75,0,214916.1953125,0.0
2405415,222728.25,0,222728.7109375,0.0
2405511,230540.75,0,230541.2265625,0.0
2405607,238353.25,0,238353.7421875,0.0
2405703,246165.75,0,246166.2578125,0.0
2405799,253978.25,0,253978.7734375,0.0
2405895,261790.75,0,261791.2890625,0.0
2405991,269603.25,0,269603.8046875,0.0
2406087,277415.75,0,277416.3203125,0.0
2406183,285228.25,0,285228.8359375,0.0
2406279,293040.75,0,293041.3515625,0.0
2406375,300853.25,0,300853.8671875,0.0
2406471,308665.75,0,308666.3828125,0.0
2406567,316478.25,0,316478.8984375,0.0
2406663,324290.75,0,324291.4140625,0.0
2406759,332103.25,0,332103.9296875,0.0
2406855,339915.75,0,339916.4453125,0.0
2406951,347728.25,0,347728.9609375,0.0
2407047,355540.75,0,355541.4765625,0.0
2407143,363353.25,0,363353.9921875,0.0
2407239,371165.75,0,371166.5078125,0.0
2407335,378978.25,0,378979.0234375,0.0
2407431,386790.75,0,386791.5390625,0.0
2417151,390697.0,0,390697.796875,0.0
2418798,390625.0,0,390625.78125,0.0
